"id";"category";"code";"description";"image_url";"name";"preparation_time";"price";"rating";"release_date"
11;"pratoespecial";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/tilapia-aomolhodealcaparras.jpg";"Filé de tilápia com alcaparras";"45 min";122.0;2.0;"2021-10-28T20:38:48.703Z"
12;"pratoespecial";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/carnedesol-comnata.jpg";"Carne de sol na nata";"45 min";212.99;2.5;"2021-10-28T20:38:48.703Z"
13;"pratoespecial";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/brocolis-combatatagratinada.jpg";"Brócolis com batatas gratinadas";"45 min";312.99;3.0;"2021-10-28T20:38:48.703Z"
14;"porcoes";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/berinjela-recheada.jpg";"Berinjela recheada";"45 min";912.99;3.5;"2021-10-28T20:38:48.703Z"
15;"porcoes";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/alcatra-commolhodealcaparras.jpg";"Alcatra ao molho de alcaparras";"45 min";612.99;4.0;"2021-10-28T20:38:48.703Z"
16;"porcoesespeciais";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/alcatra-amilanesa.jpg";"Alcatra a milanesa";"45 min";212.99;4.4;"2021-10-28T20:38:48.703Z"
17;"porcoesespeciais";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/alcatra-aparmegiana.jpg";"Alcatra a parmegiana";"45 min";82.99;4.5;"2021-10-28T20:38:48.703Z"
18;"porcoesespeciais";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/filedefrango-aparmegiana.jpg";"File de frango a parmegiana";"45 min";92.99;4.6;"2021-10-28T20:38:48.703Z"
19;"porcoesespeciais";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/filedefrango-commolhodealcaparras.jpg";"File de frango com alcaparras";"45 min";52.99;4.7;"2021-10-28T20:38:48.703Z"
20;"salada";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/saladaespecial-pequena.jpg";"Salada especial tamanho pequeno";"45 min";92.99;4.8;"2021-10-28T20:38:48.703Z"
21;"saladaespecial";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/saladaespecial-media.jpg";"Salada especial tamanho médio";"45 min";120.99;4.9;"2021-10-28T20:38:48.703Z"
22;"bebida";"100100";"refrigerante de cola  ";"/quiosque/assets/images/cocacola-lata350ml.jpg";"coca cola";"45 min";170.0;5.0;"2021-10-28T20:38:48.703Z"
23;"bebida";"100100";"cevada  ";"/quiosque/assets/images/cerveja.jpg";"cerveja";"45 min";170.0;5.0;"2021-10-28T20:38:48.703Z"
